date,name,category,value
2020-04-13,AK,AK,277
2020-04-13,AL,AL,3734
2020-04-13,AR,AR,1410
2020-04-13,AS,AS,0
2020-04-13,AZ,AZ,3702
2020-04-13,CA,CA,22348
2020-04-13,CO,CO,7684
2020-04-13,CT,CT,13381
2020-04-13,DC,DC,1955
2020-04-13,DE,DE,1625
2020-04-13,FL,FL,20601
2020-04-13,GA,GA,13315
2020-04-13,GU,GU,135
2020-04-13,HI,HI,499
2020-04-13,IA,IA,1710
2020-04-13,ID,ID,1426
2020-04-13,IL,IL,22025
2020-04-13,IN,IN,8236
2020-04-13,KS,KS,1376
2020-04-13,KY,KY,1963
2020-04-13,LA,LA,21016
2020-04-13,MA,MA,26867
2020-04-13,MD,MD,8936
2020-04-13,ME,ME,698
2020-04-13,MI,MI,25635
2020-04-13,MN,MN,1650
2020-04-13,MO,MO,4388
2020-04-13,MP,MP,11
2020-04-13,MS,MS,2942
2020-04-13,MT,MT,394
2020-04-13,NC,NC,4816
2020-04-13,ND,ND,331
2020-04-13,NE,NE,814
2020-04-13,NH,NH,985
2020-04-13,NJ,NJ,64584
2020-04-13,NM,NM,1245
2020-04-13,NV,NV,2971
2020-04-13,NY,NY,195031
2020-04-13,OH,OH,6975
2020-04-13,OK,OK,2069
2020-04-13,OR,OR,1584
2020-04-13,PA,PA,24199
2020-04-13,PR,PR,903
2020-04-13,RI,RI,2976
2020-04-13,SC,SC,3319
2020-04-13,SD,SD,868
2020-04-13,TN,TN,5610
2020-04-13,TX,TX,13906
2020-04-13,UT,UT,2363
2020-04-13,VA,VA,5747
2020-04-13,VI,VI,51
2020-04-13,VT,VT,748
2020-04-13,WA,WA,10411
2020-04-13,WI,WI,3428
2020-04-13,WV,WV,626
2020-04-13,WY,WY,275
2020-04-12,AK,AK,272
2020-04-12,AL,AL,3525
2020-04-12,AR,AR,1280
2020-04-12,AS,AS,0
2020-04-12,AZ,AZ,3539
2020-04-12,CA,CA,21794
2020-04-12,CO,CO,6893
2020-04-12,CT,CT,12035
2020-04-12,DC,DC,1875
2020-04-12,DE,DE,1479
2020-04-12,FL,FL,19355
2020-04-12,GA,GA,12452
2020-04-12,GU,GU,133
2020-04-12,HI,HI,486
2020-04-12,IA,IA,1587
2020-04-12,ID,ID,1407
2020-04-12,IL,IL,20852
2020-04-12,IN,IN,7928
2020-04-12,KS,KS,1337
2020-04-12,KY,KY,1840
2020-04-12,LA,LA,20595
2020-04-12,MA,MA,25475
2020-04-12,MD,MD,8225
2020-04-12,ME,ME,633
2020-04-12,MI,MI,24638
2020-04-12,MN,MN,1621
2020-04-12,MO,MO,4160
2020-04-12,MP,MP,11
2020-04-12,MS,MS,2781
2020-04-12,MT,MT,387
2020-04-12,NC,NC,4520
2020-04-12,ND,ND,308
2020-04-12,NE,NE,791
2020-04-12,NH,NH,929
2020-04-12,NJ,NJ,61850
2020-04-12,NM,NM,1174
2020-04-12,NV,NV,2836
2020-04-12,NY,NY,188694
2020-04-12,OH,OH,6604
2020-04-12,OK,OK,1970
2020-04-12,OR,OR,1527
2020-04-12,PA,PA,22833
